Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
305,rural,10166,SIDCAY,0.5,0.0,0.5,1.0,1.0,1
306,rural,10166,SIDCAY,0.0,0.0,1.0,0.0,0.5,0
307,rural,10166,SIDCAY,0.5,0.0,0.0,0.0,0.0,2
308,rural,10166,SIDCAY,1.0,0.0,1.0,0.0,0.5,0
309,rural,10166,SIDCAY,0.5,0.5,0.0,0.0,0.5,2
310,rural,10166,SIDCAY,1.0,0.5,0.0,1.0,0.5,1
311,rural,10166,SIDCAY,0.5,0.5,1.0,0.5,1.0,0
312,rural,10166,SIDCAY,0.0,0.0,0.5,0.0,1.0,2
313,rural,10166,SIDCAY,0.5,0.0,0.5,1.0,1.0,1
314,rural,10166,SIDCAY,0.0,0.0,0.0,0.0,1.0,2
315,rural,10166,SIDCAY,0.5,0.0,0.0,1.0,1.0,1
316,rural,10167,SININCAY,0.0,0.0,1.0,0.5,1.0,0
317,rural,10167,SININCAY,0.5,0.0,0.5,0.0,0.5,2
318,rural,10167,SININCAY,0.5,0.5,0.0,1.0,0.5,1
319,rural,10167,SININCAY,0.5,0.0,0.0,1.0,0.5,1
320,rural,10167,SININCAY,0.5,0.0,0.0,1.0,1.0,1
321,rural,10167,SININCAY,1.0,0.0,1.0,0.5,0.5,0
322,rural,10167,SININCAY,0.5,0.0,1.0,0.0,0.5,0
323,rural,10167,SININCAY,0.0,0.0,0.0,1.0,1.0,1
324,rural,10167,SININCAY,0.5,0.0,0.0,0.0,0.5,2
325,rural,10167,SININCAY,0.5,0.5,0.0,1.0,0.5,1
326,rural,10167,SININCAY,0.0,0.0,0.5,0.0,0.0,2
327,rural,10167,SININCAY,0.5,0.0,0.0,0.5,0.5,2
328,rural,10168,TARQUI,0.5,0.0,0.0,0.5,1.0,1
329,rural,10168,TARQUI,0.5,0.5,0.5,1.0,1.0,1
330,rural,10168,TARQUI,0.5,0.5,0.5,0.5,0.5,2
331,rural,10168,TARQUI,1.0,1.0,0.5,0.0,0.0,2
332,rural,10168,TARQUI,1.0,0.5,0.0,1.0,1.0,1
333,rural,10168,TARQUI,1.0,0.0,0.5,0.0,0.5,2
334,rural,10168,TARQUI,1.0,0.0,1.0,0.0,0.5,0
335,rural,10168,TARQUI,1.0,0.0,0.5,1.0,1.0,1
336,rural,10168,TARQUI,0.0,0.5,0.5,1.0,1.0,1
