indice,residuos,residuos_especiales,agua,energia,conciencia
805,0.5,0,0,0,1
806,0.5,0.5,1,0,0.5
807,1,1,0,1,1
808,0.5,0,0,1,1
809,1,1,0,0,1
810,0.5,0,0.5,0,0
811,0.5,0.5,0,0.5,1
812,0.5,0,0,0,0.5
813,1,0.5,0,1,0
814,1,0.5,0.5,1,0.5
815,1,0.5,0,0,0
816,0.5,0.5,0.5,0,0
817,1,1,0,1,1
818,1,0.5,0,1,1
819,1,0.5,0,1,1
820,0.5,0,0.5,0,0.5
821,1,1,0,0.5,1
822,1,0.5,0,1,1
823,1,0.5,0,1,1
824,1,0,1,1,1
825,0.5,0.5,0.5,0,0.5
826,1,0.5,0,1,1
827,0.5,0.5,0.5,0,0.5
828,0.5,0,0.5,1,1
829,0.5,0.5,0.5,0,1
830,1,0,1,0,1
831,1,0.5,0,0,0.5
832,1,0.5,1,0,1
833,0,0.5,0,0,0
834,1,0.5,1,0,1
835,0.5,0,1,1,1
836,0.5,0,1,0,0.5
837,1,0,0,0,0.5
838,1,0,0.5,0,1
839,1,0.5,0,0,0
840,1,0.5,0,0,0.5
841,1,0.5,1,0,0.5
842,1,0.5,1,0,0.5
843,1,0.5,0.5,0.5,1
844,1,0.5,0,0,0.5
845,0.5,1,0,0,1
846,0,0.5,0,0,1
847,1,0,0,0.5,1
848,0.5,0.5,0.5,1,0.5
849,0,0.5,0,1,1
850,1,1,1,0,0.5
851,0.5,0.5,0,0,1
852,0,0,0,0,0.5
853,1,0,0.5,0,0.5
854,0,0.5,0.5,0,1
855,0.5,0.5,0,0,0
856,1,0.5,1,0.5,0
857,0,0,0,1,0
858,1,0.5,0,0,0
859,0,0.5,0,0,0
860,1,0.5,1,1,0.5
861,0.5,0.5,0,0.5,0.5
862,1,0,0,0,0
863,0,0.5,0,0,0
864,1,0,0.5,0.5,1
865,0,0.5,0.5,1,1
866,0.5,0,0,1,1
867,0.5,0,1,0,1
868,0,0,0,0.5,1
869,0,0,0,0.5,0.5
870,0,0,1,0.5,1
871,1,0,1,0.5,1
872,0.5,0.5,1,0,1
873,0,0.5,0.5,1,1
874,0.5,0,1,1,1
875,0.5,0,1,0,1
876,1,0.5,0,1,1
877,0.5,0.5,0,0,0.5
878,1,0,0.5,0,0.5
879,1,0.5,0.5,0,1
880,1,0,1,0,1
881,0.5,0,1,1,1
882,0.5,0,1,0,1
883,0.5,1,0,0,0
884,1,0,0,1,1
885,0,0.5,0,0,1
886,0.5,0.5,0,0,1
887,0,0,0,0,0
888,1,0,1,1,1
889,1,0.5,1,1,1
890,0.5,0,0,1,0
891,0,0,0,1,0
892,0,0,0,1,0.5
893,0,0,0,1,0.5
894,0,0.5,0,0,1
895,0,0.5,0,0,0.5
896,0,0.5,0,0,0.5
897,1,0,1,0,1
898,0,0.5,0,0,0.5
899,1,0,1,1,1
900,0,0.5,0,0,1
901,0.5,0.5,0,0.5,1
902,1,0,1,1,1
903,0,0,0,1,1
904,0,0,1,0,1
905,0,0,0.5,1,0.5
906,0,0,0,1,0.5
907,0,0.5,0,0,0.5
908,0.5,0,1,1,1
909,1,0,0.5,1,0.5
910,0,0,0,1,0
911,0,0.5,0.5,0.5,1
912,0,0.5,0,1,0.5
913,0,0,1,0,0.5
914,1,0,0.5,1,1
915,0,0.5,0.5,0.5,0.5
916,0.5,0.5,0.5,0.5,1
917,0,0,1,0,0.5
918,0,0,1,1,0.5
919,0.5,0,0.5,0.5,0.5
920,0.5,0,0.5,0,1
921,0,0.5,0.5,0.5,0.5
922,0.5,0,1,0.5,1
923,0.5,0,1,1,1
924,0.5,0,0.5,1,1
925,0,0,1,1,0.5
926,0.5,0,1,1,1
927,0.5,0,1,0.5,1
928,0.5,0,1,0,0.5
929,0.5,0,0,1,0.5
930,0.5,0,1,1,1
931,0,0,1,1,1
932,1,0,1,1,1
933,0.5,0,1,0,0.5
934,0.5,0.5,1,1,1
